venue_name,city,area,address,phone,rating,reviews,price_for_two_inr,venue_type,website,instagram,source
Madeira & Mime,Mumbai,Powai,Lake Boulevard Road Powai 400076,+91 9987795161,4.6,12651,3000,Restaurant,,,JustDial
TBC The Boat Club,Mumbai,Dahisar East,Western Express Highway Dahisar East 400068,+91 7769044144,4.3,11516,,Bar,,,JustDial
Shor,Mumbai,Santacruz West,Santacruz West 400054,+91 9136025205,4.2,370,,Bar,,,JustDial
Uno Mas Tapas Bar Kitchen,Mumbai,Bandra East,Bandra Kurla Complex Road Bandra East 400051,+91 9820790898,4.3,1580,,Bar,,,JustDial
Kinara Dhaba Family Restaurant & Bar,Mumbai,Vasai East,Ahmedabad Highway No 48 Vasai East 401208,+91 9773487101,4.0,17919,,Restaurant,,,JustDial
antiSOCIAL,Mumbai,Lower Parel,Mathuradas Mill Compound 242 Lower Parel 400013,+91 7506394240,,,,Club,https://socialoffline.in/restaurant/antisocial/,@antisocialoffline,GigHub
antiSOCIAL,Pune,,,,,,,Club,https://socialoffline.in/restaurant/antisocial/,@antisocialoffline,GigHub
Auro Kitchen & Bar,Delhi,Hauz Khas,201 DDA Shopping Complex Sri Aurobindo Marg Hauz Khas 110016,,,1600,Bar,https://www.aurokitchenbar.com/,@aurokitchenbar,GigHub
Fandom At Gilly's Redefined,Bangalore,Koramangala,413 100 Feet Road 4th Block Koramangala 560034,+91 9606443393,,1200,Venue,https://gillys.in/,@fandomatgillysredefined,GigHub
House Of Chapora,Goa,,,,,,,Bar,,,GigHub
BLOCK 22,Hyderabad,,,,,,,Club,,,GigHub
TopCat CCU,Kolkata,,,,,,,Club,,,GigHub
Club Pandora,Mumbai,,,,,,,Club,,,GigHub
Aqua - The Park,Bangalore,,,,,,,Hotel,,,GigHub
Prism Club and Kitchen,Hyderabad,,,,,,,Club,,,GigHub
Prana Cafe,Goa,,,,,,,Cafe,,,GigHub
Hill Top,Goa,,,,,,,Club,,,GigHub
W GOA,Goa,,,,,,,Hotel,,,GigHub
TOT Nightclub,Hyderabad,,,,,,,Club,,,GigHub
Foxtrot Koramangala,Bangalore,Koramangala,,,,,,Bar,,,GigHub
Glory,Goa,,,,,,,Club,,,GigHub
Diablo,Delhi,,,,,,,Club,,,GigHub
Khar Social,Mumbai,Khar,,,,,,Bar,https://socialoffline.in/,,GigHub
Soho,Delhi,,,,,,,Club,,,GigHub
GYLT,Bangalore,,22 Hennur Bagalur Rd Visthar 560077,,,,,Bar,https://gyltbangalore.com/,@gyltbangalore,GigHub
Bonobo,Mumbai,Bandra,2nd Floor Kenilworth Mall Linking Road Bandra West 400050,,,,,Bar,,@bonobobandra,GigHub
Marbela Beach Resort,Goa,,,,,,,Hotel,,,GigHub
Casa Danza,Gurugram,,,,,,,Bar,,,GigHub
The Storytellers Bar,Pondicherry,,,,,,,Bar,,,GigHub
Summer House Cafe,Delhi,Hauz Khas,,,,,,Cafe,https://www.summerhousecafe.in/,@summerhousecafe_delhi,GigHub
Larive Beach Resort,Goa,,,,,,,Hotel,,,GigHub
Mic Drop,Delhi,,,,,,,Bar,,,GigHub
Koramangala Social,Bangalore,Koramangala,,,,,,Bar,https://socialoffline.in/,,GigHub
Kitty Su,Mumbai,,The Lalit Hotel Andheri East,,,,,Club,https://www.kittysu.com/mumbai/,@kittysu.mumbai,GigHub
Kitty Su,Delhi,,,,,,,Club,https://www.kittysu.com/delhi/,@kittysu.delhi,GigHub
Club Trove,Jaipur,,,,,,,Club,,,GigHub
Kitty Ko,Bangalore,,,,,,,Club,,,GigHub
Tabula Rasa Cafe & Bar,Hyderabad,,,,,,,Cafe,,,GigHub
Sunburn Beach Club,Goa,,,,,,,Club,,,GigHub
Indiranagar Social,Bangalore,Indiranagar,,,,,,Bar,https://socialoffline.in/,,GigHub
Fat Owl,Bangalore,,,,,,,Bar,,,GigHub
High Spirits,Pune,Koregaon Park,,,,,,Bar,http://dahigh.com/,@thehighspirits,GigHub
Reality,Kolkata,,,,,,,Club,,,GigHub
Mount Road Social,Chennai,,,,,,,Bar,https://socialoffline.in/,,GigHub
Raahi Neo Kitchen & Bar,Bangalore,,,,,,,Restaurant,,,GigHub
FC Road Social,Pune,FC Road,,,,,,Bar,https://socialoffline.in/,,GigHub
Whats In D Name,Kolkata,,,,,,,Bar,,,GigHub
Raasta,Delhi,,,,,,,Bar,,,GigHub
Raasta,Mumbai,,,,,,,Bar,,,GigHub
The Humming Tree,Bangalore,Indiranagar,12th Main Off 100 Feet Road Indiranagar,,,,,Venue,https://thehummingtree.com/,@thehummingtree,GigHub
B Flat,Bangalore,Indiranagar,100 Feet Road Indiranagar,,,,,Bar,,,Web Search
Hard Rock Cafe,Mumbai,Andheri,,,,2000,Restaurant,https://www.hardrockcafe.com/location/mumbai-andheri/,@hrcandheri,Web Search
Hard Rock Cafe,Bangalore,,,,,2000,Restaurant,https://www.hardrockcafe.com/location/bengaluru/,,Web Search
Hard Rock Cafe,Pune,,,,,2000,Restaurant,https://www.hardrockcafe.com/location/pune/,,Web Search
Hard Rock Cafe,Delhi,,,,,2000,Restaurant,https://www.hardrockcafe.com/location/delhi/,,Web Search
Piano Man Jazz Club,Delhi,Safdarjung Enclave,B 6-7/22 Safdarjung Enclave Market 110029,+91 11 4131 5181,,,,Club,https://www.thepianoman.in/,@tpmcafes,Web Search
The Finch,Mumbai,,,,,,,Bar,,,Web Search
